,year,ISO_code,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank
5,2016,ALB,Albania,Eastern Europe,7.568140288038345,48.0,2.0,6.661502941405711,4.547243777185453,4.666508223339067,5.291751647310078,8.920429431307506,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,5.0,5.0,5.0,7.5,8.806809810435835,5.0,10.0,5.0,6.666666666666667,,,10.0,9.566666666666666,8.011111111111111,9.192592592592591,10.0,10.0,,,10.0,,,10.0,,,10.0,10.0,10.0,10.0,5.0,5.25,10.0,10.0,10.0,8.607142857142858,0.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.25,7.59628057607669,57.0,8.23235294117647,7.509902296281318,8.0,9.0,7.0,8.0,7.935563809364448,2.668221791666667,3.1454616783333327,4.512227773333334,8.333333333333334,4.166666666666667,4.387444054818173,6.485286609711801,6.9334999716666665,6.215400695,0.9487179487179487,5.071813726017489,8.986454286936599,9.48457527196378,9.7436,10.0,9.553657389725096,9.626666666666667,9.24,8.024000000000001,8.963555555555557,5.574481486666666,9.40532777562155,7.489904631144109,10.0,6.306105851666667,4.615384615384616,8.296923098638176,6.40613785522982,8.214899510482372,5.0,7.2956869209300335,9.0,7.098562306976678,5.566666666666666,5.3963987033333325,6.2348612150000005,8.0,6.299740912913362,10.0,6.916277916318893,6.0721715283333335,6.000000000000001,9.713863751705171,4.050195972333333,7.3245821133646505,7.074365791901527,6.7058631929396695,6.906901138745081,7.54,34.0
6,2016,DZA,Algeria,Middle East & North Africa,5.135886054578317,155.0,4.0,,,,3.819566026103222,9.456253595297376,10.0,9.294029701122712,5.0,9.926119387326795,9.990149251643572,8.842059668018615,10.0,7.5,0.0,0.0,0.0,5.833333333333333,8.043882198883107,5.0,5.0,5.0,5.0,,,5.0,6.873333333333333,2.9611111111111112,4.944814814814815,5.0,5.0,,,5.0,,,5.0,,,5.0,5.0,10.0,10.0,2.6666666666666665,4.0,10.0,7.5,7.5,7.380952380952381,,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.8333333333333334,5.281772109156634,147.0,2.150000000000001,7.817129014432721,0.0,7.0,2.0,4.5,3.6167822536081804,4.186704158333334,4.327112635000001,4.689952135,4.166666666666667,5.0,4.507538038837868,6.626692153182624,6.136844953333332,6.737383206666667,0.8205128205128205,4.690742835097513,6.955962198194894,8.339152126865685,8.72046,5.0,7.253893581265144,8.48,6.22,5.9176,6.872533333333333,4.962588946666667,0.0,2.4812944733333335,5.563909774436092,3.6648287375000006,0.0,1.1062564131517565,1.590361716883919,4.12702482449667,0.0,5.301525853120188,10.0,5.100508617706729,5.566666666666666,3.8969115416666673,5.958321095,6.0,7.755176153834103,1.0,5.0295125761945725,3.7223414583333336,1.7777777777777772,9.243069792509543,3.7655152880000005,8.523503188203538,7.029528486030286,5.676955998475747,5.268992397459016,4.99,159.0
7,2016,AGO,Angola,Sub-Saharan Africa,5.640662182065094,142.0,4.0,,,,3.4518138847504796,8.060260239120344,5.0,10.0,7.5,10.0,10.0,8.5,10.0,10.0,5.0,5.0,5.0,8.333333333333334,8.297864524151228,0.0,5.0,10.0,5.0,,,10.0,8.904444444444444,7.455555555555556,8.786666666666667,2.5,2.5,,,2.5,,,5.0,,,7.5,4.0,10.0,10.0,2.6666666666666665,2.5,7.5,5.0,7.5,6.452380952380953,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,7.5,6.111324364130189,117.0,7.6,8.886739305768689,0.0,10.0,9.0,9.5,6.496684826442172,1.8431291636654303,1.9745657244500259,2.512364187055262,3.333333333333333,4.166666666666667,2.302200396601593,5.455882288253768,3.0161039868995543,4.291196630762643,0.8461538461538461,2.9636351156603364,9.38567948215638,4.986741972353887,3.0540000000000007,5.0,5.606605363627567,8.993333333333332,7.720000000000001,4.2543999999999995,6.989244444444444,3.132738334697662,0.9171597633136095,2.0249490490056354,10.0,2.9469193303689574,3.076923076923077,0.11062564131517612,2.04482268286907,5.264754044079788,8.0,9.194715491722398,4.0,7.064905163907466,8.9,2.6561976006572996,5.17298709619336,4.0,6.632764230751155,0.0,4.56032482126697,2.7584278168414356,1.3333333333333326,8.664627148118187,1.9455404927719289,8.096775932975884,6.78292330373846,4.930271337963204,5.51850044104588,5.17,155.0
8,2016,ARG,Argentina,Latin America & the Caribbean,6.469847841206623,107.0,3.0,7.098483116813977,5.791960456744537,4.343929507175759,5.744791026911424,7.622974219699998,10.0,10.0,7.5,10.0,9.990877458496428,9.498175491699286,10.0,10.0,10.0,10.0,10.0,10.0,9.040383237133094,10.0,10.0,10.0,10.0,,,7.5,9.037777777777778,6.8500000000000005,7.795925925925926,7.5,10.0,,,5.0,,,7.5,,,7.5,7.5,10.0,10.0,5.666666666666666,5.5,10.0,10.0,10.0,8.738095238095237,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.099695682413246,42.0,5.335294117647059,6.048930422569301,6.0,7.0,1.0,4.0,5.34605613505409,3.689690033333333,2.93056349,4.255994558333334,7.5,3.333333333333333,3.6328718226021586,6.85719510304923,3.3857858183333334,4.13383166,0.7692307692307693,3.904030401011319,5.233264399114184,5.224079495867155,2.0,10.0,5.614335973745335,6.06,7.26,5.9448,6.421600000000001,4.466581741666666,5.15562923001268,4.811105485839674,0.0,5.358169475833332,0.7692307692307693,7.965046174692648,4.697482139918916,3.9825469064396475,5.0,4.259461147594252,7.0,5.419820382531417,2.766666666666667,2.191898028333333,3.432613213333333,10.0,2.5172538461136824,10.0,5.151405292407836,2.404211361666667,6.666666666666666,9.122356790962982,3.260043621166666,5.253410643540421,6.50829480527711,5.535830648213419,5.369018774384224,4.84,160.0
9,2016,ARM,Armenia,Caucasus & Central Asia,7.241401800980869,57.0,2.0,,,,5.00320535306602,8.808749692431494,10.0,10.0,7.5,9.316196300895509,9.931619630089552,9.349563186197013,10.0,5.0,10.0,10.0,10.0,8.333333333333334,8.830548737320614,5.0,5.0,10.0,6.666666666666667,,,5.0,8.577777777777778,5.0888888888888895,6.222222222222222,7.5,7.5,,,5.0,,,5.0,,,7.5,6.5,10.0,10.0,3.333333333333333,4.25,7.5,7.5,7.5,7.154761904761904,7.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,8.0,6.912803601961738,84.0,7.264705882352941,7.748532262142195,8.0,5.0,5.0,5.0,7.003309536123784,3.867378631666667,4.197568695,5.6643168133333335,5.833333333333334,5.0,5.196692523441417,9.80196309009395,5.7140278816666665,7.007653713333334,1.0,5.809214964652078,9.078263924577259,9.263495877568484,9.745999999999999,10.0,9.521939950536435,8.866666666666667,8.759999999999998,8.016,8.547555555555554,5.922542413333334,8.466278563030265,7.194410488181799,10.0,5.1083785299999995,5.384615384615384,10.0,6.830997971538461,8.143241003818954,10.0,7.306138091270354,10.0,9.102046030423452,5.566666666666666,5.766310691666666,6.823076406666666,10.0,9.251725384611369,0.0,6.234629858268562,4.552464088333333,6.000000000000001,9.846471587329226,4.575152278,9.319612283389176,6.491480815575395,6.797530175437855,7.37806868804329,7.57,29.0
10,2016,AUS,Australia,Oceania,8.582219226561921,4.0,1.0,8.439109886963848,7.525648147700493,7.364078306031015,7.7762787802317845,9.623537568873449,10.0,10.0,10.0,10.0,9.991739226888289,9.998347845377657,10.0,10.0,10.0,10.0,10.0,10.0,9.873961804750367,10.0,10.0,10.0,10.0,,,10.0,8.28888888888889,8.938888888888888,9.075925925925928,10.0,10.0,,,10.0,,,10.0,,,10.0,10.0,10.0,10.0,8.0,7.75,10.0,10.0,10.0,9.392857142857142,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.25,9.184438453123844,11.0,4.511764705882353,6.6649478716430846,10.0,5.0,5.0,5.0,6.544178144381359,8.766928513333333,5.610652764999999,7.998304366666668,10.0,9.166666666666666,6.025331188133625,8.205654997406079,8.707445463333332,6.790183385000001,1.0,7.919018593948857,8.564837584383906,9.500703525731026,9.744620000000001,10.0,9.452540277528733,8.580000000000002,9.5,8.379999999999999,8.82,6.431714693333333,8.42249189169302,7.427103292513177,10.0,6.853331724166667,4.615384615384616,0.11062564131517612,3.8597806602888194,7.526720988200499,10.0,8.729073951499196,10.0,9.576357983833065,8.9,3.729871908333333,5.633807976666666,10.0,7.92785491123148,10.0,7.698589132705247,3.8108706466666664,10.0,9.912605544257762,7.238899866500001,8.944387134418953,8.823020720879924,8.121630652120551,8.465525922886288,7.98,10.0
11,2016,AUT,Austria,Western Europe,8.413474200350242,16.0,1.0,8.96983237844381,7.8721875414893585,7.673226526193618,8.171748815375595,9.737912140056808,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.912637380018936,10.0,10.0,10.0,10.0,,,10.0,8.13111111111111,5.644444444444446,7.925185185185185,10.0,10.0,,,10.0,,,10.0,,,10.0,10.0,10.0,10.0,7.333333333333333,8.0,10.0,10.0,10.0,9.333333333333332,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.246948400700484,8.0,3.744117647058824,3.1010620504257846,10.0,4.0,3.0,3.5,5.086294924371153,7.650855381666667,5.482199589166666,8.092564741666667,10.0,10.0,6.220992577565259,8.100493939892425,8.501866658333334,7.194909255000001,1.0,7.915986904810113,8.033868574407087,9.875450532470465,9.822,10.0,9.432829776719387,9.0,8.959999999999999,6.8384,8.266133333333334,6.544708411666668,9.963313764923093,8.254011088294881,10.0,6.899639765833333,3.076923076923077,7.743794892062298,5.906785911606236,8.106732583308613,8.0,9.387043649859866,10.0,9.129014549953288,8.9,3.35208575,2.13862141,6.0,10.0,3.0,5.565117860000001,4.150648515,8.88888888888889,9.233098825626413,6.418890119,7.296116367856417,8.531578232716859,7.419870158181431,7.371334189378239,7.58,27.0
12,2016,AZE,Azerbaijan,Caucasus & Central Asia,6.083276739054218,130.0,4.0,,,,4.270861177308954,9.143499300726887,10.0,5.1833464305317625,7.5,9.96583933638675,9.97950360183205,8.525737873750113,10.0,7.5,5.0,10.0,7.5,8.333333333333334,8.667523502603444,5.0,5.0,5.0,5.0,,,2.5,8.422222222222222,5.461111111111111,5.461111111111111,2.5,5.0,,,2.5,,,2.5,,,2.5,3.0,10.0,4.875900458012515,0.3333333333333333,0.25,10.0,0.0,7.5,4.708461970192265,0.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.25,5.6765534781084375,131.0,6.3205882352941165,7.881207817481104,0.0,9.0,4.0,6.5,5.175449013193806,5.67688624,5.861118634166665,6.321835518333333,5.0,5.833333333333334,7.252962408498236,9.830311946333078,6.170494556666667,7.2801923749999995,0.717948717948718,5.652732259011678,9.240397674393662,6.649350257934817,9.164200000000001,5.0,7.51348698308212,9.033333333333335,8.2,6.688,7.973777777777777,5.961408615,7.636696028782093,6.799052321891047,10.0,6.226287285833333,4.615384615384616,1.4381333370972826,4.093268412771744,7.216524628110141,5.0,8.403333827730165,9.0,7.4677779425767215,8.333333333333334,6.136535803333333,7.235649426666666,6.0,7.755176153834103,1.0,6.076782452861239,6.071594556666668,6.444444444444444,9.837017568166084,5.353532672,6.959698778071233,7.814181338777003,7.080078226354239,6.874879540597401,6.49,106.0
13,2016,BHS,Bahamas,Latin America & the Caribbean,7.3972689229803565,50.0,2.0,6.93083482285188,6.00869610723877,6.262839888104582,6.4007902727317445,0.0,10.0,10.0,,10.0,10.0,10.0,,,,,,,5.0,10.0,10.0,,10.0,,,,9.444444444444445,6.433333333333334,7.938888888888889,,,,,,,,,,,,,10.0,10.0,8.333333333333332,7.25,,,,8.895833333333332,,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,7.454537845960713,64.0,7.0852941176470585,9.040503456902655,7.0,10.0,10.0,10.0,8.281449393637429,,6.7,,10.0,6.666666666666666,4.69925658206345,6.149350210649757,,,0.9459459459459459,6.658107267771219,8.654100645617856,8.975513979892462,9.930800000000001,0.0,6.89010365637758,4.5,3.3599999999999994,1.899199999999999,3.253066666666666,,8.105924621633932,8.105924621633932,10.0,,0.7692307692307693,10.0,5.384615384615385,6.685901668228995,10.0,5.8681995970131515,10.0,8.622733199004385,8.9,,,8.0,6.546424852052466,10.0,8.361606213013117,,5.555555555555555,9.166682937184238,,7.981672077133803,7.3882269330002135,7.523034375718453,8.169124595911985,7.34,49.0
14,2016,BHR,Bahrain,Middle East & North Africa,6.8480349969915695,75.0,2.0,,,,5.900338721814153,9.790481421314174,10.0,10.0,2.5,9.76610993815245,9.719331925782942,8.397088372787078,10.0,7.5,0.0,0.0,0.0,5.833333333333333,8.006967709144861,10.0,5.0,5.0,6.666666666666667,,,10.0,8.362222222222222,4.022222222222222,7.461481481481481,5.0,0.0,,,0.0,,,10.0,,,10.0,5.0,10.0,0.0,0.6666666666666666,0.75,7.5,7.5,2.5,4.1309523809523805,,0.0,0.0,0.0,10.0,10.0,10.0,0.0,3.3333333333333335,6.136069993983139,114.0,3.6882352941176464,9.581704339072813,10.0,10.0,10.0,10.0,8.317484908297615,6.822563011666666,6.231400966666666,7.435712815,5.0,7.5,4.78581441757082,8.85531453434199,7.764705816666666,7.287250360000001,0.5365853658536586,5.265601627480361,9.961595769019853,8.215417836927262,9.4404,10.0,9.40435340148678,9.48,9.059999999999999,7.029599999999999,8.5232,6.712476411666667,5.87871299313767,6.295594702402168,10.0,7.456231911666666,6.153846153846154,0.7743794892062306,4.79481918490635,7.403403471827129,10.0,2.8275013475831576,10.0,7.6091671158610525,8.333333333333334,5.687467256666667,7.695705890000001,8.0,0.0,10.0,6.619417746666667,6.084863344999999,8.0,9.675830836078688,6.5967449349999985,8.074670452321163,9.68053419566741,8.018773960677876,7.4157862744018646,7.56,30.0
